,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
96,VCYT,"Veracyte, Inc.",,41.11 +1.52 (+3.84%),1.52,+3.84%,818609,758801,3.186B,-,64.24%,
97,W,Wayfair Inc.,,49.41 +1.82 (+3.82%),1.82,+3.82%,3.852M,3.537M,6.192B,-,-2.12%,
98,DASH,"DoorDash, Inc.",,213.38 +7.74 (+3.76%),7.74,+3.76%,6.858M,2.964M,88.637B,711.27,84.78%,
99,EDU,New Oriental Education & Technology Group Inc.,,55.48 +2.01 (+3.76%),2.01,+3.76%,2.418M,1.911M,9.073B,24.12,-38.73%,
100,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,,17.74 +0.64 (+3.74%),0.64,+3.74%,785000,834326,12.125B,16.74,7.32%,
101,DELL,Dell Technologies Inc.,,114.38 +4.12 (+3.74%),4.12,+3.74%,16.183M,8.424M,79.803B,20.24,38.71%,
102,U,Unity Software Inc.,,21.51 +0.77 (+3.71%),0.77,+3.71%,8.661M,10.224M,8.665B,-,-32.82%,
103,BZ,Kanzhun Limited,,16.49 +0.59 (+3.71%),0.59,+3.71%,6.672M,3.943M,7.102B,37.48,11.27%,
104,ATKR,Atkore Inc.,,72.51 +2.56 (+3.66%),2.56,+3.66%,614776,708553,2.494B,6.98,-49.15%,
105,WSM,"Williams-Sonoma, Inc.",,214.60 +7.54 (+3.64%),7.54,+3.64%,898945,1.851M,26.417B,25.37,91.76%,
106,RELY,"Remitly Global, Inc.",,27.14 +0.95 (+3.63%),0.95,+3.63%,2.123M,1.48M,5.375B,-,50.78%,
107,CRBG,"Corebridge Financial, Inc.",,33.18 +1.16 (+3.62%),1.16,+3.62%,4.31M,3.365M,18.448B,8.92,30.94%,
108,ITUB,Itaú Unibanco Holding S.A.,,6.09 +0.21 (+3.57%),0.21,+3.57%,23.186M,27.674M,54.351B,8.46,-15.77%,
109,NVCR,NovoCure Limited,,22.48 +0.77 (+3.55%),0.77,+3.55%,721516,1.195M,2.432B,-,42.10%,
110,PPC,Pilgrim's Pride Corporation,,53.88 +1.83 (+3.52%),1.83,+3.52%,2.837M,1.076M,12.776B,11.79,84.96%,
111,SITE,"SiteOne Landscape Supply, Inc.",,146.09 +4.93 (+3.49%),4.93,+3.49%,498988,334466,6.561B,53.71,-10.87%,
112,CXT,"Crane NXT, Co.",,59.81 +2.01 (+3.48%),2.01,+3.48%,857349,401801,3.42B,18.75,2.19%,
113,INTR,"Inter & Co, Inc.",,5.47 +0.18 (+3.40%),0.18,+3.40%,2.838M,2.22M,2.405B,15.19,2.63%,
114,ETSY,"Etsy, Inc.",,57.20 +1.88 (+3.40%),1.88,+3.40%,3.895M,3.285M,6.435B,29.18,-24.61%,
115,WMG,Warner Music Group Corp.,,36.30 +1.19 (+3.39%),1.19,+3.39%,3.146M,1.867M,18.889B,37.04,1.82%,
116,CHEF,"The Chefs' Warehouse, Inc.",,65.30 +2.12 (+3.36%),2.12,+3.36%,548082,443120,2.583B,49.47,79.35%,
117,MRNA,"Moderna, Inc.",,32.99 +1.07 (+3.35%),1.07,+3.35%,25.131M,10.587M,12.695B,-,-62.08%,
118,UAL,"United Airlines Holdings, Inc.",,104.26 +3.37 (+3.34%),3.37,+3.34%,4.85M,5.615M,34.289B,11.03,139.90%,
119,VKTX,"Viking Therapeutics, Inc.",,30.48 +0.98 (+3.32%),0.98,+3.32%,3.184M,3.795M,3.401B,-,-14.72%,
120,FUTU,Futu Holdings Limited,,121.82 +3.90 (+3.31%),3.9,+3.31%,5.552M,2.393M,16.802B,29.86,144.82%,
121,JOBY,"Joby Aviation, Inc.",,7.83 +0.25 (+3.30%),0.25,+3.30%,13.997M,17.074M,5.991B,-,26.09%,
122,VLO,Valero Energy Corporation,,135.31 +4.32 (+3.30%),4.32,+3.30%,3.48M,2.96M,42.837B,15.77,0.21%,
123,ALV,"Autoliv, Inc.",,98.15 +3.11 (+3.27%),3.11,+3.27%,962825,711030,7.627B,12.21,-10.90%,
124,R,"Ryder System, Inc.",,166.34 +5.27 (+3.27%),5.27,+3.27%,509113,315181,7B,15.04,53.03%,
125,OMF,"OneMain Holdings, Inc.",,56.96 +1.75 (+3.17%),1.75,+3.17%,790068,887323,6.799B,13.43,20.60%,
126,MATX,"Matson, Inc.",,146.32 +4.48 (+3.16%),4.48,+3.16%,331941,244450,4.859B,12.30,26.55%,
127,CPA,"Copa Holdings, S.A.",,97.78 +2.98 (+3.14%),2.98,+3.14%,511614,362306,4.026B,6.72,-1.05%,
128,AB,AllianceBernstein Holding L.P.,,37.08 +1.13 (+3.14%),1.13,+3.14%,746636,548945,4.206B,9.99,13.78%,
129,TAP,Molson Coors Beverage Company,,60.36 +1.82 (+3.11%),1.82,+3.11%,3.272M,1.831M,12.233B,11.28,-3.76%,
130,APO,"Apollo Global Management, Inc.",,162.81 +4.89 (+3.10%),4.89,+3.10%,2.643M,5.477M,92.108B,22.21,48.55%,
131,DFS,Discover Financial Services,,195.97 +5.86 (+3.08%),5.86,+3.08%,1.228M,1.413M,49.249B,11.06,57.51%,
132,RHI,Robert Half International Inc.,,60.15 +1.79 (+3.07%),1.79,+3.07%,1.621M,1.036M,6.147B,24.65,-24.84%,
133,RSG,"Republic Services, Inc.",,231.37 +6.88 (+3.06%),6.88,+3.06%,1.497M,996206,72.253B,35.60,28.53%,
134,OSCR,"Oscar Health, Inc.",,13.46 +0.40 (+3.06%),0.4,+3.06%,3.23M,4.069M,3.372B,134.60,-23.09%,
135,C,Citigroup Inc.,,84.61 +2.51 (+3.06%),2.51,+3.06%,12.682M,14.136M,158.821B,14.22,52.67%,
136,MBLY,Mobileye Global Inc.,,17.97 +0.53 (+3.04%),0.53,+3.04%,3.001M,6.869M,14.587B,-,-28.92%,
137,AMX,"América Móvil, S.A.B. de C.V.",,15.28 +0.45 (+3.03%),0.45,+3.03%,2.384M,1.722M,46.546B,33.96,-17.18%,
138,NXT,Nextracker Inc.,,47.30 +1.39 (+3.03%),1.39,+3.03%,2.16M,2.599M,6.978B,11.68,-19.67%,
139,MBGYY,Mercedes-Benz Group AG,,16.02 +0.47 (+3.02%),0.47,+3.02%,38358,508893,61.703B,5.80,-11.10%,
140,RXO,"RXO, Inc.",,21.57 +0.63 (+3.01%),0.63,+3.01%,1.018M,1.114M,3.505B,-,3.01%,
141,DINO,HF Sinclair Corporation,,38.01 +1.11 (+3.01%),1.11,+3.01%,3.602M,2.354M,7.161B,21.97,-35.97%,
142,KLC,"KinderCare Learning Companies, Inc.",,20.55 +0.60 (+3.01%),0.6,+3.01%,348092,698603,2.424B,42.81,-21.35%,
143,DE,Deere & Company,,480.22 +14.00 (+3.00%),14.0,+3.00%,1.919M,1.4M,130.788B,21.28,34.37%,
